dcterms:identifier,dcterms:image
f15e4e4b-70ca-4406-aa3c-560c9e64b118_035,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_036,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_037,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_001,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_002,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_003,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_011,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
f15e4e4b-70ca-4406-aa3c-560c9e64b118_021,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
nan,https://agorha.inha.fr/ark:/54721/cf2a04c3-743c-4b76-a88f-dc91f3212c6b/doc/7b9c5e84-a1fc-4ab4-8e6c-278a835471c9/original.jpg
aca0f2ed-3e79-4af1-b124-01951b817c7a_001,https://agorha.inha.fr/ark:/54721/cf2a04c3-743c-4b76-a88f-dc91f3212c6b/doc/7b9c5e84-a1fc-4ab4-8e6c-278a835471c9/original.jpg
aca0f2ed-3e79-4af1-b124-01951b817c7a_002,https://agorha.inha.fr/ark:/54721/cf2a04c3-743c-4b76-a88f-dc91f3212c6b/doc/7b9c5e84-a1fc-4ab4-8e6c-278a835471c9/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_003,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_004,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_005,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_006,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_007,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_008,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_009,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_010,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_011,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_012,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
